Analysis code | Status | Samples | ARC chair from USA | ARC chair from LPC | ARC chair from LPC NEW | Cadi contact from US | Cadi contact LPC | Cadi contact LPC NEW | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of ARC members from LPC NEW | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # of AN submitters from LPC NEW | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of  AN authors from LPC NEW | # AN authors LPC fellows | ARC chairs LPC fellow | # ARC members LPC fellows  | # of institutes | # in institutes from USA | # of institutes from LPC | # of institutes from LPC NEW
SUS-12-019 | PAS-only-PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 4 | 4 | 2 | 1 | 4 | 1 | 1 | 0 | 36 | 21 | 20 | 10 | 2 | 0 | 0 | 10 | 5 | 4 | 3
SUS-12-020 | PAS-only-PUB | Run2 | 1 | 0 | 0 | 1 | 1 | 1 | 3 | 3 | 1 | 0 | 3 | 2 | 2 | 1 | 4 | 1 | 1 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 0
SUS-12-021 | PAS-only-PUB | Run2 | 1 | 1 | 0 | 1 | 1 | 0 | 3 | 3 | 2 | 0 | 2 | 1 | 1 | 0 | 5 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 0
SUS-12-022 | PAS-only-PUB | Run1 | 1 | 0 | 0 | 1 | 1 | 0 | 4 | 2 | 1 | 1 | 7 | 4 | 4 | 2 | 71 | 57 | 54 | 25 | 5 | 0 | 0 | 19 | 12 | 10 | 11
SUS-12-023 | PAS-only-PUB | Run1 | 1 | 0 | 1 | 1 | 1 | 0 | 4 | 3 | 2 | 2 | 1 | 1 | 1 | 0 | 23 | 22 | 20 | 9 | 2 | 0 | 0 | 5 | 4 | 3 | 3
SUS-12-024 | PUB | Run1 | 0 | 0 | 0 | 1 | 0 | 0 | 5 | 3 | 3 | 2 | 1 | 1 | 1 | 0 | 19 | 18 | 14 | 4 | 0 | 0 | 0 | 8 | 7 | 6 | 3
SUS-12-025 | SUPERSEDED | Run1 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 1 | 0 | 0 | 2 | 1 | 1 | 1 | 11 | 5 | 5 | 5 | 0 | 0 | 0 | 7 | 3 | 3 | 3
SUS-12-026 | PAS-only-PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 0 | 4 | 2 | 2 | 1 | 3 | 3 | 3 | 0 | 52 | 43 | 43 | 12 | 3 | 0 | 0 | 7 | 4 | 4 | 1
SUS-12-027 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 2 | 2 | 1 | 4 | 4 | 4 | 1 | 65 | 55 | 55 | 14 | 4 | 0 | 0 | 7 | 4 | 4 | 1
SUS-12-028 | PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 5 | 3 | 3 | 2 | 1 | 0 | 0 | 0 | 11 | 5 | 5 | 2 | 2 | 0 | 1 | 10 | 5 | 5 | 2
SUS-12-029 | SUPERSEDED | Run1 | 1 | 0 | 0 | 1 | 1 | 1 | 4 | 4 | 2 | 1 | 4 | 3 | 3 | 3 | 73 | 64 | 61 | 31 | 5 | 0 | 0 | 13 | 8 | 7 | 8
SUS-12-030 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0
SUS-13-001 | Inactive | Run1 | 1 | 1 | 1 | 1 | 1 | 0 | 4 | 4 | 4 | 2 | 1 | 0 | 0 | 0 | 13 | 8 | 7 | 2 | 1 | 0 | 0 | 10 | 6 | 5 | 2
SUS-13-002 | PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 0 | 5 | 3 | 3 | 1 | 3 | 3 | 3 | 0 | 52 | 43 | 43 | 12 | 3 | 0 | 0 | 7 | 4 | 4 | 1
SUS-13-003 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 3 | 2 | 1 | 3 | 3 | 3 | 1 | 49 | 41 | 41 | 11 | 3 | 0 | 0 | 7 | 4 | 4 | 1
SUS-13-004 | PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 0 | 5 | 5 | 5 | 2 | 2 | 1 | 1 | 0 | 19 | 13 | 12 | 4 | 2 | 0 | 0 | 10 | 7 | 6 | 3
SUS-13-005 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 3 | 2 | 2 | 1 | 0 | 0 | 0 | 6 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0
SUS-13-006 | PUB | Run1 | 1 | 0 | 0 | 1 | 1 | 0 | 5 | 3 | 1 | 1 | 7 | 3 | 3 | 2 | 62 | 47 | 44 | 22 | 4 | 0 | 0 | 22 | 13 | 11 | 11
SUS-13-007 | PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 5 | 4 | 3 | 1 | 4 | 1 | 0 | 1 | 18 | 9 | 8 | 4 | 1 | 0 | 0 | 8 | 3 | 2 | 2
SUS-13-008 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 3 | 2 | 2 | 1 | 0 | 0 | 1 | 11 | 8 | 5 | 6 | 1 | 0 | 0 | 7 | 4 | 2 | 5
SUS-13-009 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 23 | 7 | 7 | 5 | 0 | 0 | 0 | 10 | 4 | 4 | 3
SUS-13-010 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 3 | 3 | 1 | 1 | 1 | 1 | 0 | 5 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 0
SUS-13-011 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 4 | 2 | 1 | 0 | 2 | 2 | 2 | 1 | 55 | 47 | 43 | 20 | 6 | 0 | 0 | 10 | 5 | 4 | 3
SUS-13-012 | PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 0 | 5 | 3 | 1 | 2 | 1 | 0 | 0 | 0 | 21 | 15 | 11 | 8 | 2 | 0 | 0 | 15 | 9 | 7 | 5
SUS-13-013 | PUB | Run1 | 1 | 0 | 0 | 1 | 1 | 0 | 5 | 3 | 1 | 0 | 4 | 1 | 1 | 0 | 50 | 39 | 37 | 22 | 6 | 0 | 0 | 11 | 7 | 6 | 7
SUS-13-014 | PUB | Run1 | 1 | 0 | 1 | 1 | 1 | 0 | 4 | 3 | 2 | 2 | 1 | 1 | 1 | 1 | 5 | 4 | 4 | 3 | 0 | 0 | 0 | 4 | 3 | 3 | 3
SUS-13-015 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 1 | 4 | 3 | 3 | 2 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0
SUS-13-016 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 3 | 3 | 0 | 1 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
SUS-13-017 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 1 | 4 | 2 | 2 | 1 | 4 | 4 | 4 | 3 | 98 | 91 | 83 | 40 | 9 | 0 | 1 | 16 | 13 | 9 | 9
SUS-13-018 | PAS-only-PUB | Run1 | 1 | 0 | 1 | 0 | 0 | 0 | 4 | 3 | 2 | 2 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0
SUS-13-019 | PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 5 | 3 | 3 | 1 | 1 | 0 | 0 | 0 | 4 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 0
SUS-13-020 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 4 | 2 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0
SUS-13-021 | PAS-only-PUB | Run1 | 1 | 0 | 1 | 0 | 0 | 0 | 4 | 3 | 1 | 1 | 1 | 1 | 0 | 0 | 25 | 24 | 22 | 11 | 3 | 0 | 0 | 5 | 4 | 3 | 3
SUS-13-022 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 1 | 0 | 0 | 4 | 3 | 3 | 2 | 1 | 1 | 1 | 0 | 13 | 12 | 9 | 3 | 0 | 0 | 0 | 6 | 5 | 4 | 1
SUS-13-023 | PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 0 | 5 | 4 | 4 | 2 | 1 | 0 | 0 | 0 | 13 | 10 | 5 | 4 | 1 | 0 | 0 | 7 | 4 | 2 | 3
SUS-13-024 | PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 5 | 3 | 2 | 2 | 1 | 0 | 0 | 1 | 38 | 31 | 26 | 19 | 4 | 0 | 1 | 13 | 8 | 6 | 9
SUS-13-025 | SUPERSEDED | Run1 | 1 | 1 | 1 | 1 | 0 | 0 | 4 | 3 | 3 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
SUS-14-001 | PUB | Run1 | 1 | 0 | 1 | 0 | 0 | 0 | 5 | 4 | 1 | 1 | 3 | 1 | 1 | 1 | 15 | 3 | 3 | 2 | 1 | 0 | 0 | 10 | 3 | 3 | 2
SUS-14-002 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 4 | 3 | 2 | 1 | 5 | 5 | 5 | 2 | 104 | 96 | 83 | 45 | 7 | 0 | 1 | 18 | 15 | 11 | 9
SUS-14-003 | ACCEPT | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 5 | 2 | 2 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1
SUS-14-004 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 3 | 2 | 1 | 2 | 0 | 0 | 0 | 15 | 7 | 6 | 1 | 0 | 0 | 0 | 10 | 4 | 3 | 1
SUS-14-005 | PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 1 | 5 | 2 | 1 | 1 | 4 | 3 | 3 | 3 | 13 | 7 | 7 | 7 | 0 | 0 | 0 | 7 | 3 | 3 | 3
SUS-14-006 | ACCEPT | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 5 | 5 | 4 | 3 | 1 | 0 | 0 | 0 | 8 | 3 | 3 | 2 | 1 | 0 | 1 | 5 | 2 | 2 | 2
SUS-14-007 | ACCEPT | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 3 | 3 | 1 | 1 | 0 | 0 | 0 | 9 | 6 | 6 | 1 | 1 | 0 | 0 | 7 | 4 | 4 | 1
