Analysis code | Status | ARC chair from USA | ARC chair from LPC | Cadi contact from US | Cadi contact LPC | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of institutes | # in institutes from USA | # of institutes from LPC
TOP-14-011 | PAS-only-PUB | 1 | 0 | 0 | 0 | 4 | 1 | 0 | 1 | 0 | 0 | 3 | 1 | 1 | 3 | 1 | 1
TOP-14-012 | ACCEPT | 1 | 1 | 1 | 1 | 5 | 3 | 3 | 1 | 1 | 1 | 6 | 6 | 6 | 2 | 2 | 2
TOP-14-013 | ReadyForSub | 0 | 0 | 0 | 0 | 5 | 3 | 2 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0
TOP-14-014 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 4 | 0 | 0 | 3 | 0 | 0
TOP-14-015 | PAS-only-PUB | 1 | 1 | 1 | 0 | 4 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-14-016 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-14-017 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 7 | 0 | 0 | 3 | 0 | 0
TOP-14-018 | PUB | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0
TOP-14-019 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0
TOP-14-020 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
TOP-14-021 | PUB | 0 | 0 | 1 | 0 | 5 | 2 | 1 | 1 | 1 | 1 | 5 | 5 | 1 | 2 | 2 | 1
TOP-14-022 | PUB | 0 | 0 | 1 | 0 | 5 | 4 | 3 | 5 | 2 | 2 | 17 | 8 | 8 | 4 | 1 | 1
TOP-14-023 | PUB | 1 | 1 | 1 | 1 | 4 | 3 | 2 | 2 | 1 | 1 | 5 | 0 | 0 | 2 | 0 | 0
TOP-15-001 | ReadyForSub | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 0 | 0 | 5 | 0 | 0 | 3 | 0 | 0
TOP-15-002 | PAS-only-PUB | 1 | 1 | 1 | 1 | 4 | 1 | 1 | 1 | 1 | 1 | 7 | 4 | 4 | 6 | 4 | 4
TOP-15-003 | PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 3 | 0 | 0 | 40 | 1 | 1 | 10 | 1 | 1
TOP-15-004 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 15 | 0 | 0 | 7 | 0 | 0
TOP-15-005 | PAS-only-PUB | 0 | 0 | 1 | 1 | 4 | 1 | 1 | 1 | 1 | 1 | 6 | 5 | 5 | 2 | 1 | 1
TOP-15-006 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 7 | 0 | 0 | 3 | 0 | 0
TOP-15-007 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
