Analysis code | Status | ARC chair from USA | ARC chair from LPC | Cadi contact from US | Cadi contact LPC | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of institutes | # in institutes from USA | # of institutes from LPC
BPH-13-010 | PUB | 1 | 1 | 0 | 0 | 5 | 3 | 2 | 2 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0
BPH-13-011 | Started | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0
BPH-13-012 | PUB | 1 | 1 | 0 | 0 | 6 | 3 | 3 | 4 | 0 | 0 | 9 | 1 | 0 | 6 | 1 | 0
BPH-14-001 | PUB | 1 | 0 | 0 | 0 | 5 | 2 | 1 | 3 | 0 | 0 | 11 | 4 | 4 | 7 | 2 | 2
BPH-14-002 | PUB | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0
BPH-14-003 | Started | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-14-004 | Thesis-Approved | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
BPH-14-005 | Started | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 3 | 1 | 0 | 2 | 1 | 0
BPH-14-006 | ARC-GreenLight | 0 | 0 | 1 | 1 | 5 | 2 | 1 | 4 | 3 | 2 | 4 | 0 | 0 | 1 | 0 | 0
BPH-14-007 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-14-008 | RefComments | 1 | 0 | 1 | 1 | 5 | 3 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0
BPH-14-009 | PAS-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 1 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0
BPH-14-010 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0
BPH-15-001 | PRE-APP | 1 | 1 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 11 | 2 | 2 | 5 | 2 | 2
BPH-15-002 | PAS-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 2 | 0 | 0 | 8 | 0 | 0 | 2 | 0 | 0
BPH-15-003 | AWG | 0 | 0 | 1 | 1 | 4 | 1 | 1 | 1 | 1 | 1 | 2 | 2 | 2 | 1 | 1 | 1
BPH-15-004 | ReSubmitted | 0 | 0 | 0 | 0 | 5 | 4 | 3 | 2 | 0 | 0 | 9 | 7 | 3 | 7 | 3 | 2
BPH-15-005 | PAS-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 3 | 0 | 0 | 17 | 1 | 1 | 5 | 1 | 1
BPH-15-006 | Inactive | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-15-007 | Thesis-Approved | - | - | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0
BPH-15-008 | ARC-GreenLight | 1 | 1 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 5 | 0 | 0 | 4 | 0 | 0
BPH-15-009 | PRE-APP | 1 | 1 | 0 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 10 | 1 | 1 | 6 | 1 | 1
BPH-16-001 | AWG | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 3 | 3 | 3 | 1 | 1 | 1
BPH-16-002 | PAS-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 8 | 0 | 0 | 3 | 0 | 0
BPH-16-003 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0
BPH-16-004 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 5 | 0 | 0 | 2 | 0 | 0
BTV-07-001 | PAS-only-PUB | 1 | 1 | 1 | 1 | 3 | 1 | 1 | 1 | 1 | 1 | 9 | 3 | 3 | 5 | 3 | 3
BTV-07-002 | PAS-only-PUB | 1 | 1 | 0 | 0 | 3 | 1 | 1 | 1 | 0 | 0 | 7 | 1 | 1 | 3 | 1 | 1
BTV-07-003 | PAS-only-PUB | 1 | 1 | 0 | 0 | 3 | 1 | 1 | 1 | 0 | 0 | 4 | 0 | 0 | 2 | 0 | 0
BTV-09-001 | PAS-only-PUB | 1 | 1 | 0 | 0 | 3 | 2 | 2 | 1 | 0 | 0 | 9 | 1 | 1 | 6 | 1 | 1
BTV-09-002 | Inactive | 0 | 0 | 1 | 1 | 3 | 2 | 2 | 1 | 1 | 1 | 2 | 2 | 2 | 1 | 1 | 1
BTV-10-001 | PAS-only-PUB | 1 | 1 | 1 | 1 | 4 | 2 | 1 | 3 | 1 | 1 | 11 | 4 | 3 | 10 | 4 | 3
BTV-11-001 | SUPERSEDED | 0 | 0 | 0 | 0 | 3 | 2 | 2 | 7 | 3 | 3 | 42 | 20 | 19 | 26 | 13 | 12
BTV-11-002 | SUPERSEDED | 0 | 0 | 0 | 0 | 3 | 2 | 2 | 1 | 0 | 0 | 16 | 4 | 4 | 12 | 3 | 3
BTV-11-003 | PAS-only-PUB | 1 | 1 | 1 | 1 | 3 | 3 | 3 | 4 | 1 | 1 | 15 | 3 | 3 | 7 | 1 | 1
BTV-11-004 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 5 | 1 | 1 | 46 | 17 | 16 | 22 | 9 | 8
BTV-12-001 | PUB | 0 | 0 | 0 | 0 | 5 | 3 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BTV-13-001 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 1 | 1 | 10 | 1 | 1 | 92 | 22 | 21 | 32 | 12 | 11
BTV-13-002 | SUPERSEDED | 1 | 1 | 0 | 0 | 4 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BTV-15-001 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 57 | 9 | 9 | 20 | 4 | 4
BTV-15-002 | PAS-only-PUB | 0 | 0 | 1 | 1 | 4 | 1 | 1 | 2 | 2 | 2 | 9 | 6 | 6 | 6 | 3 | 3
BTV-16-001 | PAS-only-PUB | 0 | 0 | 1 | 1 | 4 | 0 | 0 | 3 | 1 | 1 | 8 | 3 | 3 | 4 | 1 | 1
BTV-16-002 | Started | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 4 | 2 | 2 | 6 | 3 | 3 | 4 | 1 | 1
CFT-09-001 | PUB | 0 | 0 | 0 | 0 | 4 | 3 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-002 | PUB | 1 | 1 | 0 | 0 | 4 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-003 | PUB | 0 | 0 | 1 | 1 | 4 | 3 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-004 | PUB | 0 | 0 | 1 | 1 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-005 | PUB | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-006 | PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-007 | PUB | 1 | 1 | 1 | 1 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-008 | PUB | 1 | 0 | 1 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-009 | PUB | 1 | 1 | 1 | 1 | 3 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-010 | PUB | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-011 | PUB | 0 | 0 | 1 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-012 | PUB | 1 | 1 | 0 | 0 | 3 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-013 | PUB | 1 | 1 | 0 | 0 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-014 | PUB | 0 | 0 | 1 | 0 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-015 | PUB | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-016 | PUB | 0 | 0 | 1 | 1 | 3 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-017 | PUB | 1 | 0 | 0 | 0 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-018 | PUB | 1 | 1 | 1 | 1 | 4 | 3 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-019 | PUB | 0 | 0 | 1 | 0 | 4 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-020 | PUB | 1 | 0 | 1 | 1 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-022 | PUB | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-023 | PUB | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CFT-09-025 | PUB | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
DIF-07-001 | PAS-only-PUB | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0
DIF-07-002 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0
EGM-07-001 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 1 | 1 | 11 | 4 | 4 | 7 | 3 | 3
EGM-09-001 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EGM-09-002 | SUPERSEDED | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EGM-09-003 | SUPERSEDED | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EGM-09-004 | SUPERSEDED | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EGM-09-005 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EGM-09-006 | SUPERSEDED | - | - | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EGM-10-001 | PAS-PUB | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 5 | 4 | 3 | 39 | 21 | 12 | 14 | 8 | 7
EGM-10-002 | Completed | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EGM-10-003 | PAS-only-PUB | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 3 | 0 | 0 | 12 | 2 | 2 | 7 | 1 | 1
EGM-10-004 | PAS-PUB | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EGM-10-005 | PAS-PUB | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EGM-10-006 | PAS-PUB | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 5 | 3 | 2 | 50 | 19 | 14 | 23 | 12 | 8
EGM-10-007 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EGM-10-008 | SUPERSEDED | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EGM-11-001 | PUB | 0 | 0 | 0 | 0 | 4 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EGM-13-001 | PUB | 0 | 0 | 0 | 0 | 5 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
EGM-14-001 | PUB | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-07-001 | SUPERSEDED | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 29 | 8 | 8 | 16 | 6 | 6
EWK-07-002 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 1 | 0 | 0 | 33 | 10 | 10 | 14 | 6 | 6
EWK-07-003 | Completed | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 0 | 0 | 13 | 2 | 2 | 10 | 2 | 2
EWK-08-001 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 3 | 0 | 0
EWK-08-002 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 2 | 2 | 2 | 1 | 1 | 9 | 3 | 3 | 6 | 2 | 2
EWK-08-003 | PAS-only-PUB | 1 | 1 | 0 | 0 | 3 | 2 | 2 | 1 | 0 | 0 | 4 | 1 | 1 | 2 | 1 | 1
EWK-08-004 | Completed | 1 | 1 | 1 | 1 | 3 | 2 | 1 | 1 | 1 | 0 | 13 | 9 | 8 | 5 | 3 | 2
EWK-08-005 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 29 | 8 | 8 | 16 | 6 | 6
EWK-08-006 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 2 | 2 | 5 | 5 | 5 | 28 | 11 | 11 | 8 | 2 | 2
EWK-09-001 | PAS-only-PUB | 1 | 0 | 0 | 0 | 3 | 1 | 0 | 3 | 0 | 0 | 16 | 0 | 0 | 6 | 0 | 0
EWK-09-002 | PAS-only-PUB | 0 | 0 | 1 | 1 | 3 | 1 | 0 | 1 | 1 | 0 | 18 | 16 | 15 | 5 | 4 | 3
EWK-09-003 | PAS-only-PUB | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 1 | 1 | 1 | 13 | 8 | 8 | 5 | 2 | 2
EWK-09-004 | PAS-only-PUB | 1 | 1 | 0 | 0 | 3 | 1 | 1 | 2 | 0 | 0 | 14 | 6 | 6 | 6 | 3 | 3
EWK-09-005 | PAS-only-PUB | 1 | 1 | 1 | 1 | 3 | 1 | 1 | 1 | 1 | 1 | 7 | 5 | 5 | 4 | 2 | 2
EWK-09-006 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 2 | 2 | 1 | 1 | 1 | 11 | 3 | 3 | 7 | 2 | 2
EWK-09-007 | Completed | 1 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-09-008 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-09-009 | Completed | 1 | 1 | 1 | 1 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-09-010 | Completed | 1 | 1 | 0 | 0 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-09-011 | Completed | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-09-012 | Completed | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-09-013 | Completed | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-09-014 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-09-015 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-09-016 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-10-001 | Inactive | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-10-002 | PUB | 1 | 1 | 1 | 1 | 4 | 1 | 1 | 5 | 4 | 4 | 96 | 45 | 33 | 33 | 15 | 12
EWK-10-003 | Inactive | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-10-004 | PAS-only-PUB | 1 | 0 | 1 | 1 | 3 | 2 | 1 | 1 | 1 | 1 | 4 | 4 | 3 | 2 | 2 | 1
EWK-10-005 | PUB | 1 | 1 | 0 | 0 | 4 | 1 | 1 | 7 | 2 | 2 | 42 | 18 | 10 | 17 | 7 | 6
EWK-10-006 | PUB | 1 | 1 | 0 | 0 | 4 | 3 | 3 | 4 | 3 | 3 | 56 | 38 | 26 | 18 | 9 | 6
EWK-10-007 | PUB | 1 | 1 | 1 | 1 | 4 | 2 | 2 | 3 | 2 | 2 | 47 | 25 | 17 | 20 | 9 | 8
EWK-10-008 | PUB | 0 | 0 | 0 | 0 | 4 | 2 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0
EWK-10-009 | PUB | 0 | 0 | 1 | 1 | 3 | 1 | 1 | 1 | 1 | 0 | 72 | 40 | 31 | 20 | 8 | 7
EWK-10-010 | PUB | 0 | 0 | 1 | 1 | 5 | 2 | 1 | 4 | 3 | 3 | 33 | 23 | 23 | 11 | 7 | 7
EWK-10-011 | PAS-only-PUB | 0 | 0 | 1 | 1 | 5 | 2 | 1 | 3 | 1 | 1 | 27 | 26 | 26 | 10 | 5 | 5
EWK-10-012 | PUB | 1 | 1 | 0 | 0 | 4 | 3 | 2 | 9 | 5 | 5 | 82 | 32 | 32 | 20 | 7 | 7
EWK-10-013 | PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 7 | 4 | 2 | 47 | 24 | 13 | 19 | 10 | 8
EWK-10-014 | PUB | 1 | 1 | 0 | 0 | 4 | 3 | 2 | 1 | 0 | 0 | 6 | 0 | 0 | 3 | 0 | 0
EWK-10-015 | PAS-only-PUB | 1 | 1 | 0 | 0 | 3 | 2 | 2 | 3 | 0 | 0 | 9 | 1 | 1 | 5 | 1 | 1
EWK-11-001 | PAS-only-PUB | 0 | 0 | 1 | 1 | 3 | 1 | 1 | 1 | 1 | 1 | 10 | 8 | 6 | 6 | 4 | 2
EWK-11-002 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
EWK-11-003 | PUB | 0 | 0 | 1 | 1 | 4 | 2 | 1 | 1 | 1 | 1 | 6 | 2 | 2 | 3 | 2 | 2
EWK-11-004 | PUB | 0 | 0 | 1 | 1 | 4 | 3 | 2 | 1 | 0 | 0 | 13 | 11 | 11 | 10 | 5 | 5
EWK-11-005 | PAS-PUB | 1 | 1 | 1 | 1 | 4 | 3 | 3 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0
EWK-11-006 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-11-007 | PAS-only-PUB | 1 | 1 | 1 | 1 | 4 | 2 | 2 | 2 | 1 | 1 | 49 | 27 | 19 | 24 | 12 | 11
EWK-11-008 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-11-009 | PUB | 0 | 0 | 1 | 1 | 5 | 3 | 2 | 2 | 2 | 2 | 45 | 31 | 30 | 18 | 11 | 10
EWK-11-010 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 4 | 2 | 2 | 89 | 57 | 46 | 35 | 15 | 12
EWK-11-011 | SUPERSEDED | 0 | 0 | 1 | 1 | 4 | 2 | 2 | 2 | 1 | 1 | 32 | 20 | 20 | 14 | 6 | 6
EWK-11-012 | PUB | 1 | 1 | 0 | 0 | 3 | 2 | 2 | 3 | 0 | 0 | 23 | 0 | 0 | 7 | 0 | 0
EWK-11-013 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0
EWK-11-014 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-11-015 | PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 5 | 0 | 0 | 3 | 0 | 0
EWK-11-016 | PUB | 0 | 0 | 1 | 1 | 5 | 2 | 2 | 1 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 1
EWK-11-017 | PUB | 1 | 1 | 1 | 1 | 5 | 4 | 3 | 2 | 2 | 2 | 27 | 21 | 21 | 12 | 7 | 7
EWK-11-018 | Inactive | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-11-019 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
EWK-11-020 | PAS-only-PUB | 1 | 1 | 1 | 1 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EWK-11-021 | PUB | 1 | 1 | 0 | 0 | 5 | 3 | 3 | 1 | 0 | 0 | 11 | 1 | 0 | 7 | 1 | 0
EXO-08-001 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0 | 54 | 20 | 19 | 16 | 8 | 7
EXO-08-002 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-08-003 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 1 | 0 | 0 | 14 | 6 | 4 | 11 | 6 | 4
EXO-08-004 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 0 | 0 | 6 | 0 | 0 | 3 | 0 | 0
EXO-08-005 | PAS-only-PUB | 1 | 1 | 0 | 0 | 3 | 2 | 1 | 1 | 0 | 0 | 3 | 0 | 0 | 3 | 0 | 0
EXO-08-006 | Completed | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 0 | 0 | 5 | 0 | 0 | 1 | 0 | 0
EXO-08-007 | Completed | 1 | 1 | 0 | 0 | 3 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-08-008 | PAS-only-PUB | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 1 | 1 | 1 | 3 | 3 | 3 | 2 | 2 | 2
EXO-08-009 | PAS-only-PUB | 1 | 1 | 0 | 0 | 3 | 2 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
EXO-08-010 | PAS-only-PUB | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 1 | 1 | 0 | 5 | 3 | 0 | 4 | 2 | 0
EXO-08-011 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 6 | 0 | 0 | 3 | 0 | 0
EXO-08-012 | Completed | - | - | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 7 | 4 | 3 | 4 | 2 | 1
EXO-08-013 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
EXO-08-014 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-09-001 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 1 | 1 | 3 | 3 | 1 | 3 | 2 | 1
EXO-09-002 | PAS-only-PUB | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 1 | 1 | 1 | 2 | 2 | 2 | 2 | 2 | 2
EXO-09-003 | PAS-only-PUB | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 1 | 1 | 1 | 8 | 5 | 5 | 6 | 3 | 3
EXO-09-004 | PAS-only-PUB | 1 | 1 | 1 | 1 | 3 | 2 | 2 | 1 | 1 | 1 | 4 | 3 | 3 | 4 | 3 | 3
EXO-09-005 | Completed | 1 | 0 | 1 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-09-006 | PAS-only-PUB | 1 | 1 | 0 | 0 | 3 | 2 | 2 | 1 | 0 | 0 | 16 | 3 | 3 | 9 | 3 | 3
EXO-09-007 | PAS-only-PUB | 1 | 1 | 1 | 1 | 3 | 1 | 1 | 1 | 1 | 1 | 11 | 8 | 8 | 7 | 5 | 5
EXO-09-008 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 0 | 0 | 26 | 12 | 7 | 15 | 7 | 5
EXO-09-009 | PAS-only-PUB | 1 | 1 | 1 | 1 | 3 | 3 | 3 | 1 | 1 | 1 | 7 | 5 | 5 | 7 | 5 | 5
EXO-09-010 | PAS-only-PUB | 1 | 0 | 1 | 0 | 3 | 1 | 0 | 1 | 1 | 0 | 3 | 1 | 0 | 2 | 1 | 0
EXO-09-011 | PAS-only-PUB | 1 | 1 | 0 | 0 | 3 | 3 | 3 | 1 | 1 | 1 | 6 | 4 | 4 | 6 | 4 | 4
EXO-09-012 | PAS-only-PUB | 1 | 1 | 0 | 0 | 3 | 2 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
EXO-09-013 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 6 | 0 | 0 | 2 | 0 | 0
EXO-09-014 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 4 | 0 | 0 | 4 | 0 | 0
EXO-09-015 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
EXO-10-001 | PAS-only-PUB | 1 | 0 | 1 | 1 | 3 | 2 | 1 | 1 | 1 | 1 | 19 | 10 | 9 | 17 | 9 | 8
