 Analysis code | AN Notes | # Authors | # Authors from USA | Institutes | # Institutes | # Insitutes from USA
HIG-17-004 | CMS AN-2017/029 | 18 | 4 | OVIEDO, STRASBOURG, CERN, NOTRE_DAME, NEBRASKA, POLYTECHNIQUE, BEIJING-IHEP, BRUSSEL-VUB | 8 | 2
HIG-17-005 | CMS AN-2016/378, CMS AN-2017/029 | 24 | 7 | OVIEDO, STRASBOURG, CERN, NOTRE_DAME, NEBRASKA, POLYTECHNIQUE, TIFR-B, BEIJING-IHEP, BRUSSEL-VUB | 9 | 2
HIG-17-006 | CMS AN-2016/430, CMS AN-2016/444 | 13 | 0 | LOUVAIN | 1 | 0
HIG-17-007 | CMS AN-2016/493, CMS AN-2016/492 | 8 | 2 | CHUNGLI-NCU, NORTHWESTERN, #not_found#, TIFR-B | 4 | 1
HIG-17-008 | CMS AN-2016/433 | 14 | 3 | LYON, ROMA-1, NORTHEASTERN, SACLAY, CHUNGLI-NCU, LOUVAIN, #not_found# | 7 | 1
HIG-17-009 | CMS AN-2016/268 | 5 | 3 | FLORIDA-UNIV, ZURICH-UNIV, FERMILAB, PISA | 4 | 2
HIG-17-010 | CMS AN-2016/366 | 1 | 0 | #not_found# | 1 | 0
HIG-17-011 | CMS AN-2016/485 | 3 | 2 | JOHNS-HOPKINS, #not_found# | 2 | 1
HIG-17-012 | CMS AN-2016/325, CMS AN-2017/021, CMS AN-2017/019 | 8 | 0 | BRUXELLES-ULB, #not_found#, LOUVAIN, BEIJING-BUAA, DELHI-UNIV | 5 | 0
HIG-17-013 | CMS AN-2016/410 | 13 | 0 | PEKING-UNIV, LYON, KOLKATA-SAHA, TIFR-B, BEIJING-IHEP | 5 | 0
HIG-17-014 | CMS AN-2016/333 | 3 | 0 | ZURICH-UNIV | 1 | 0
HIG-17-015 | CMS AN-2017/041 | 1 | 0 | #not_found# | 1 | 0
HIN-07-001 | CMS AN-2007/050 | 6 | 0 | MUMBAI-BARC, #not_found# | 2 | 0
HIN-07-002 | CMS AN-2007/051 | 9 | 5 | #not_found#, BEIJING-IHEP, MIT, FERMILAB, CHICAGO | 5 | 3
HIN-07-003 | CMS AN-2007/053 | 3 | 2 | #not_found#, CHICAGO | 2 | 1
HIN-07-004 | CMS AN-2007/054 | 1 | 0 | ADANA-CUKUROVA | 1 | 0
HIN-07-005 | CMS AN-2007/056 | 4 | 0 | MUMBAI-BARC, KOREA-UNIV, SEOUL-UNIV | 3 | 0
HIN-07-006 |  | 0 | 0 |  | 0 | 0
HIN-08-001 | CMS AN-2009/124 | 6 | 0 | MUMBAI-BARC, #not_found# | 2 | 0
HIN-08-002 |  | 0 | 0 |  | 0 | 0
HIN-08-003 |  | 0 | 0 |  | 0 | 0
HIN-08-004 |  | 0 | 0 |  | 0 | 0
HIN-08-005 |  | 0 | 0 |  | 0 | 0
HIN-10-001 | CMS AN-2010/365 | 4 | 4 | SKK-UNIV, MIT | 2 | 1
HIN-10-002 | CMS AN-2010/394 | 6 | 6 | KANSAS-UNIV, VANDERBILT, MIT | 3 | 3
HIN-10-003 | CMS AN-2010/412, CMS AN-2010/386 | 29 | 16 | MUMBAI-BARC, IOWA, UCDAVIS, CHICAGO, CERN, MOSCOW-MSU, #not_found#, KANSAS-UNIV, BOGAZICI, RUTGERS, POLYTECHNIQUE, CHONNAM, MIT | 13 | 6
HIN-10-004 | CMS AN-2010/399 | 1 | 0 | #not_found# | 1 | 0
HIN-10-005 | CMS AN-2011/101 | 3 | 1 | MIT, #not_found# | 2 | 1
HIN-10-006 | CMS AN-2011/062 | 19 | 8 | MUMBAI-BARC, UCDAVIS, PURDUE, MOSCOW-MSU, #not_found#, RUTGERS, LIP, POLYTECHNIQUE, CHONNAM, MIT, FERMILAB, TEXAS-TAMU | 12 | 6
HIN-11-001 | CMS AN-2011/006 | 1 | 0 | #not_found# | 1 | 0
HIN-11-002 | CMS AN-2011/095 | 7 | 2 | SKK-UNIV, CERN, MIT, CHUNGLI-NCU, MARYLAND, KOREA-UNIV | 6 | 2
HIN-11-003 | CMS AN-2011/077, CMS AN-2012/006 | 9 | 5 | RIO-UERJ, #not_found#, UCSD, KANSAS-UNIV | 4 | 2
HIN-11-004 | CMS AN-2011/121 | 11 | 5 | SKK-UNIV, CHICAGO, KOREA-UNIV, POLYTECHNIQUE, MIT, #not_found# | 6 | 2
HIN-11-005 | CMS AN-2011/122 | 2 | 0 | #not_found# | 1 | 0
HIN-11-006 | CMS AN-2011/118 | 5 | 5 | RICE, MIT, CHICAGO | 3 | 3
HIN-11-007 | CMS AN-2011/062 | 19 | 8 | MUMBAI-BARC, UCDAVIS, PURDUE, MOSCOW-MSU, #not_found#, RUTGERS, LIP, POLYTECHNIQUE, CHONNAM, MIT, FERMILAB, TEXAS-TAMU | 12 | 6
HIN-11-008 | CMS AN-2011/234 | 1 | 0 | MADRID-CIEMAT | 1 | 0
HIN-11-009 | CMS AN-2011/304 | 2 | 0 | #not_found# | 1 | 0
HIN-11-010 | CMS AN-2011/435 | 19 | 12 | SKK-UNIV, MUMBAI-BARC, CHICAGO, KOREA-UNIV, RUTGERS, POLYTECHNIQUE, MARYLAND, #not_found#, MIT | 9 | 4
HIN-11-011 | CMS AN-2011/455 | 22 | 8 | MUMBAI-BARC, UCDAVIS, PURDUE, CERN, MOSCOW-MSU, UCLA, #not_found#, LIP, POLYTECHNIQUE, CHONNAM, MIT, FERMILAB, TEXAS-TAMU | 13 | 6
HIN-11-012 | CMS AN-2011/436 | 7 | 5 | UCDAVIS, #not_found#, KANSAS-UNIV, SAO_PAULO, RICE, MIT | 6 | 4
HIN-11-013 | CMS AN-2011/478 | 3 | 2 | SKK-UNIV, MIT | 2 | 1
HIN-12-001 | CMS AN-2011/496 | 1 | 0 | #not_found# | 1 | 0
HIN-12-002 | CMS AN-2012/355 | 4 | 5 | PEKING-UNIV, RUTGERS, MIT, VANDERBILT, CHICAGO | 5 | 4
HIN-12-003 | CMS AN-2013/273, CMS AN-2012/126 | 14 | 10 | SKK-UNIV, PURDUE, PEKING-UNIV, CHICAGO, VANDERBILT, RUTGERS, POLYTECHNIQUE, MIT | 8 | 5
HIN-12-004 | CMS AN-2011/393 | 8 | 7 | SKK-UNIV, MUMBAI-BARC, CHICAGO, RUTGERS, MARYLAND, MIT | 6 | 4
HIN-12-005 | CMS AN-2012/125 | 3 | 1 | #not_found#, MIT, POLYTECHNIQUE | 3 | 1
HIN-12-006 | CMS AN-2012/145 | 15 | 0 | ANTWERPEN, KARLSRUHE-IEKP, ST-PETERSBURG, MOSCOW-MSU, #not_found#, DESY | 6 | 0
HIN-12-007 | CMS AN-2012/118 | 6 | 1 | #not_found#, MUMBAI-BARC, POLYTECHNIQUE, MIT | 4 | 1
HIN-12-008 | CMS AN-2012/085 | 4 | 1 | CERN, POLYTECHNIQUE, UCDAVIS, #not_found# | 4 | 1
HIN-12-009 | CMS AN-2012/122 | 3 | 2 | KANSAS-UNIV, #not_found# | 2 | 1
HIN-12-010 | CMS AN-2012/130 | 2 | 2 | RICE, UCDAVIS | 2 | 2
HIN-12-011 | CMS AN-2012/232 | 5 | 4 | KANSAS-UNIV, RICE, VANDERBILT, VINCA | 4 | 3
HIN-12-012 | CMS AN-2012/132 | 1 | 0 | KOREA-UNIV | 1 | 0
HIN-12-013 | CMS AN-2012/030, CMS AN-2013/271 | 8 | 6 | SKK-UNIV, CHICAGO, PEKING-UNIV, VANDERBILT, MIT, #not_found# | 6 | 3
HIN-12-014 | CMS AN-2012/246 | 1 | 0 | #not_found# | 1 | 0
HIN-12-015 | CMS AN-2012/352 | 1 | 0 | #not_found# | 1 | 0
HIN-12-016 | CMS AN-2012/404 | 1 | 0 | BUDAPEST | 1 | 0
HIN-12-017 | CMS AN-2012/377 | 6 | 5 | PEKING-UNIV, MIT, VANDERBILT, PURDUE | 4 | 3
HIN-13-001 | CMS AN-2012/473 | 1 | 0 | #not_found# | 1 | 0
HIN-13-002 | CMS AN-2013/031 | 12 | 10 | UCDAVIS, PURDUE, BRUXELLES-ULB, VANDERBILT, KANSAS-UNIV, SAO_PAULO, BEIJING-IHEP, RICE, MIT | 9 | 6
HIN-13-003 | CMS AN-2013/025 | 8 | 1 | CHONNAM, #not_found#, MUMBAI-BARC, MIT, BUDAPEST-ELU | 5 | 1
HIN-13-004 | CMS AN-2012/085 | 4 | 1 | CERN, POLYTECHNIQUE, UCDAVIS, #not_found# | 4 | 1
HIN-13-005 | CMS AN-2013/261 | 11 | 6 | SKK-UNIV, MUMBAI-BARC, CHICAGO, CERN, MIT, RUTGERS, MARYLAND, #not_found#, TAIPEI-NTU | 9 | 4
HIN-13-006 | CMS AN-2013/257 | 7 | 2 | CERN, SKK-UNIV, #not_found#, KOREA-UNIV, MIT | 5 | 1
HIN-13-007 | CMS AN-2013/136 | 6 | 1 | CERN, CHUNGLI-NCU, UCLA, #not_found# | 4 | 1
HIN-14-001 | CMS AN-2013/395 | 7 | 7 | PEKING-UNIV, RUTGERS, VANDERBILT | 3 | 2
HIN-14-002 | CMS AN-2013/304 | 2 | 3 | NORTHWESTERN, RICE | 2 | 2
HIN-14-003 | CMS AN-2013/310 | 1 | 0 | #not_found# | 1 | 0
HIN-14-004 | CMS AN-2013/322 | 1 | 0 | CHONNAM | 1 | 0
HIN-14-005 | CMS AN-2014/061, CMS AN-2011/496, CMS AN-2012/246, CMS AN-2015/028 | 7 | 1 | CHONNAM, POLYTECHNIQUE, MIT, #not_found# | 4 | 1
HIN-14-006 | CMS AN-2013/320 | 7 | 6 | PURDUE, BRUXELLES-ULB, VANDERBILT, KANSAS-UNIV, SAO_PAULO, BEIJING-IHEP, RICE | 7 | 4
HIN-14-007 | CMS AN-2014/019 | 1 | 1 | CHICAGO | 1 | 1
HIN-14-008 | CMS AN-2013/408 | 2 | 2 | BEIJING-IHEP, PURDUE | 2 | 1
HIN-14-009 | CMS AN-2013/346 | 7 | 0 | KYUNGPOOK, CERN, SEOUL-SNU, POLYTECHNIQUE, CHONNAM, KOREA-UNIV | 6 | 0
HIN-14-010 | CMS AN-2014/024 | 14 | 10 | CERN, SKK-UNIV, #not_found#, MIT, CHICAGO | 5 | 2
HIN-14-011 | CMS AN-2014/033 | 3 | 3 | VANDERBILT, PURDUE | 2 | 2
